NAME,CATEGORY,SUBCATEGORY,LON,LAT,
Halfmoon Bay,SETTLEMENTS,VILLAGE,-123.9095731,49.513402500000005,
Endako,SETTLEMENTS,TOWN,-125.02355850000001,54.08752380000001,
Surprise,SETTLEMENTS,TOWN,-133.41666700000002,59.61666700000001,
Tahsis,SETTLEMENTS,VILLAGE,-126.66335040000001,49.914940800000004,
Forestdale,SETTLEMENTS,HAMLET,-126.2,54.416667000000004,
Roy,SETTLEMENTS,TOWN,-125.53333300000001,50.516667000000005,
Fort Fraser,SETTLEMENTS,TOWN,-124.556122,54.066642,
Great Central,SETTLEMENTS,VILLAGE,-124.983333,49.316667,
Hydraulic,SETTLEMENTS,HAMLET,-121.7071454,52.6140223,
Nithi River,SETTLEMENTS,HAMLET,-124.966667,53.983333,
Ben-My-Chree,SETTLEMENTS,TOWN,-134.466667,59.416667000000004,
Firvale,SETTLEMENTS,HAMLET,-126.22459800000001,52.4392536,
Blubber Bay,SETTLEMENTS,VILLAGE,-124.62199720000001,49.794875000000005,
Wistaria,SETTLEMENTS,TOWN,-126.28333300000001,53.833333,
Marilla,SETTLEMENTS,TOWN,-125.83333300000001,53.683333000000005,
Donald Landing,SETTLEMENTS,HAMLET,-125.666667,54.483333,
Tachie,SETTLEMENTS,HAMLET,-124.75890580000001,54.6535475,
Kitwanga,SETTLEMENTS,TOWN,-128.06762700000002,55.100373000000005,
Black Creek,SETTLEMENTS,HAMLET,-121.09380390000001,52.2969753,
Ocean Falls,SETTLEMENTS,TOWN,-127.68997200000001,52.350441000000004,
Beament,SETTLEMENTS,TOWN,-127.38333300000001,55.150000000000006,
